Date,Item,Price
2025-03-28,Buyer Protection Apple Airpods Max S$400 Like new,S$400
2025-06-26,Apple Airpods Max S$550 Like new,S$550
2025-05-27,Buyer Protection AirPods Max S$550 Like new,S$550
2025-03-28,Buyer Protection Apple AirPods Max S$600 Like new,S$600
2024-08-25,Buyer Protection AIRPODS MAX SKY BLUE S$550 Like new,S$550
2025-02-26,Apple AirPods Max S$500 Like new,S$500
2025-06-26,Buyer Protection Apple AirPods Max Wireless Bluetooth Noise-Cancelling Headphones - Pink S$480 Like new,S$480
2025-05-27,Apple Airpods Max 1st Generation S$350 Like new,S$350
2024-11-28,AirPods Max (USB‑C) Starlight S$680 Like new,S$680
2024-08-25,Airpods Max (Bought november 2023) S$650 Like new,S$650
2025-03-28,Apple Airpods Max S$590 Like new,S$590
2024-12-28,Buyer Protection Apple Airpods Max - Midnight S$650 Like new,S$650
2025-03-28,Buyer Protection AirPods Max S$335 Like new,S$335
2025-08-17,Buyer Protection AirPods MAX S$350 Like new,S$350
2024-10-29,Airpod Max S$530 Like new,S$530
2024-08-25,Buyer Protection Apple AirPods Max S$500 Like new,S$500
2025-06-26,Apple AirPods Max Midnight (Type C) S$600 Like new,S$600
2025-06-26,Buyer Protection AirPods Max S$600 Like new,S$600
2024-12-28,Buyer Protection Apple Airpods Max S$600 Like new,S$600
2025-05-27,Buyer Protection AirPods Max S$400 Like new,S$400
2025-08-23,Apple AirPods Max - Space Gray S$400 Like new,S$400
2024-08-25,Like New Airpods Max (Space Grey) *WITH FREE ACCESSORIES* S$550 Like new,S$550
2025-05-27,Buyer Protection AirPods Max S$400 Like new,S$400
2025-08-23,Buyer Protection Apple AirPods Max - Space Gray S$400 Like new,S$400
2025-05-27,Buyer Protection Apple Airpods Max (Newest Generation) S$500 Like new,S$500
2025-08-06,Buyer Protection Airpods Max (Light Blue) S$600 Like new,S$600
2025-04-27,Buyer Protection Airpods Max S$350 Like new Free delivery,S$350
2025-05-27,Buyer Protection AirPods max headphone S$580 Like new,S$580
2025-03-28,Buyer Protection Apple Airpods Max S$700 Like new,S$700
2025-01-27,Apple Airpods Max S$650 Like new,S$650
2025-08-07,Buyer Protection Apple AirPods Max - Space Grey S$430 Like new,S$430
2025-02-26,Buyer Protection Airpod Max S$380 Like new,S$380
2025-04-27,Buyer Protection Apply AirPods Max white ~ lady user S$500 Like new Free delivery,S$500
2025-06-26,Buyer Protection Apple AirPods Max S$460 Like new,S$460
2025-05-27,"Buyer Protection AirPods Max Apple wireless headset, almost brand new. S$439 Like new",S$439
2025-05-27,Apple AirPods Max - Silver S$630 Like new,S$630
2024-11-28,Original Apple Airpods Max - Midnight - usb c to lightning  - available in original box with accessories - Mint condition S$520 Like new,S$520
2025-01-27,Buyer Protection Apple AirPods Max S$575 Like new,S$575
2025-08-13,Buyer Protection Apple AirPods Max (2025) - with Apple Care+ S$600 Like new,S$600
2023-08-26,AirPods Max S$700 Like new,S$700
2025-05-27,Buyer Protection Airpods Max Space Grey S$400 Like new,S$400
2025-02-26,Buyer Protection AirPod max 1 S$620 Like new,S$620
2025-02-26,Buyer Protection Apple AirPod Max (Mint) S$750 Like new,S$750
2025-05-27,Buyer Protection Airpod Max Silver S$650 Like new,S$650
2025-07-29,Buyer Protection Apple AirPods Max - White S$400 Like new,S$400
2023-08-26,"Apple AirPods Max Black Full Set XY S$9,999 Like new","S$9,999"
2022-08-26,"Apple AirPods Max Blue Full Set w/ Warranty XY S$9,999 Like new","S$9,999"
