Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Buyer Protection Sereed balance bike S$95 Brand new,https://www.carousell.sg/p/sereed-balance-bike-1387373159/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0,S$95,,,
,Liquid moly bike additive 125ML S$15 New,https://www.carousell.sg/p/liquid-moly-bike-additive-125ml-1370947432/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1,S$15,,,
,Your browser does not support HTML5 video. **Air Valve Leak/Tyre Patching/Cacing/Tyre worming* *Bike car van truck bus forklift crane* Anywhere Everywhere S$50 New,https://www.carousell.sg/p/air-valve-leak-tyre-patching-cacing-tyre-worming-bike-car-van-truck-bus-forklift-crane-anywhere-everywhere-1288513052/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2,S$50,,,
,Buyer Protection NEW: Peak Design Everyday Case for iPhone 16 for mounting on bicycle or bike S$47 Brand new,https://www.carousell.sg/p/new-peak-design-everyday-case-for-iphone-16-for-mounting-on-bicycle-or-bike-1385348047/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3,S$47,,,
,Ullmax MTB 26 Electric Bicycle E Bike | 48V 19.2AH | INSTALMENT S$136 Brand new,https://www.carousell.sg/p/ullmax-mtb-26-electric-bicycle-e-bike-48v-19-2ah-instalment-1320320784/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5,S$136,,,
,🆕⚫FIXIE 48T Hollowtech Crankset | Litepro Fixed Gear Bike Crank CS S$85 Brand new,https://www.carousell.sg/p/🆕⚫fixie-48t-hollowtech-crankset-litepro-fixed-gear-bike-crank-cs-1388268766/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6,S$85,,,
,⚫Bicycle T25 Disc Rotor Screw | Bike Disc Brake Torx Bolt S$1 Brand new,https://www.carousell.sg/p/⚫bicycle-t25-disc-rotor-screw-bike-disc-brake-torx-bolt-1388267375/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7,S$1,,,
,🆕⚫MOTSUV Bicycle Sponge Grips | Lock-On Bike Handle Handlebar Grips S$12 Brand new,https://www.carousell.sg/p/🆕⚫motsuv-bicycle-sponge-grips-lock-on-bike-handle-handlebar-grips-1388266722/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,S$12,,,
,*Tyre Worming/Tyre Patching/Cacing/Air Valve Leak* *Bike car van truck bus forklift crane* Woodlands St 83 S$50 New,https://www.carousell.sg/p/tyre-worming-tyre-patching-cacing-air-valve-leak-bike-car-van-truck-bus-forklift-crane-woodlands-st-83-1366751476/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9,S$50,,,
,🆕🔥Bicycle Saddle Cushion Cover | Bike Seat Foam Comfy Protection S$4 Brand new,https://www.carousell.sg/p/🆕🔥bicycle-saddle-cushion-cover-bike-seat-foam-comfy-protection-1388265943/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=10,S$4,,,
,Your browser does not support HTML5 video. **Tyre Patching/Cacing/Air Valve Leak/Tyre Worming* *Bike car van truck bus forklift crane* Anywhere Everywhere S$50 New,https://www.carousell.sg/p/tyre-patching-cacing-air-valve-leak-tyre-worming-bike-car-van-truck-bus-forklift-crane-anywhere-everywhere-1288513106/?t-id=hZW15MKc27_1755880706013&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=yruTNa79fppa22MS&t-referrer_search_query=bike&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=11,S$50,,,
