Date,Item,Price
2024-09-29,AIRPOD MAX SILVER (with proof of authentication) S$750 Lightly used,S$750
2025-02-26,Buyer Protection AirPods Max S$650 Lightly used,S$650
2025-07-31,AirPods Max green S$600 Lightly used,S$600
2025-03-28,Buyer Protection airpods max v1 S$600 Lightly used,S$600
2024-08-25,Airpods Max S$600 Lightly used,S$600
2024-08-25,Apple Airpods Max S$600 Lightly used,S$600
2025-03-28,Apple AirPods Max Silver Headphones S$599 Lightly used,S$599
2024-09-29,Buyer Protection (CAN NEGO) Sage Green Airpods Max S$570 Lightly used,S$570
2025-06-26,Buyer Protection Original Apple Airpods Max (Space Grey) S$550 Lightly used,S$550
2025-06-26,Buyer Protection Apple AirPods Max - Space Gray S$550 Lightly used,S$550
2024-10-29,AirPods Max S$550 Lightly used,S$550
2024-10-29,Airpods Max 1st Gen Space Grey S$550 Lightly used,S$550
2024-12-28,Buyer Protection Apple AirPod Max S$520 Lightly used,S$520
2024-09-29,AirPods Max - silver S$520 Lightly used,S$520
2025-07-28,Airpod Max Green (2024) With AppleCare S$500 Lightly used,S$500
2025-06-26,Apple AirPods Max - Starlight S$500 Lightly used,S$500
2025-06-26,Buyer Protection AirPods Max S$500 Lightly used,S$500
2025-06-26,Airpod max S$500 Lightly used,S$500
2025-06-26,Buyer Protection AirPods Max Lightning Cable Version - Willing to negotiate S$500 Lightly used,S$500
2025-05-27,AirPods Max S$500 Lightly used,S$500
2025-05-27,Buyer Protection AirPods Pro Max silver S$500 Lightly used,S$500
2025-02-26,Buyer Protection AirPods Max S$500 Lightly used,S$500
2025-02-26,Buyer Protection Airpods Max S$500 Lightly used,S$500
2024-12-28,Buyer Protection TRADE/SELL AirPods Max silver S$500 Lightly used,S$500
2024-11-28,Buyer Protection Apple Airpods Max GEN 1 S$500 Lightly used,S$500
2023-08-26,Buyer Protection AirPods Max S$500 Lightly used,S$500
2025-03-28,Apple Airpods Max Headphones S$499 Lightly used,S$499
2025-04-27,Buyer Protection AirPods Max S$498 Lightly used,S$498
2025-08-12,Buyer Protection Apple Airpods Max S$488 Lightly used,S$488
2025-08-24,Apple AirPods Max - Space Grey S$480 Lightly used,S$480
2025-08-22,Buyer Protection AirPods Max (Lightning) S$480 Lightly used Free delivery,S$480
2025-05-27,Buyer Protection Apple Airpods Max S$480 Lightly used,S$480
2025-03-28,Buyer Protection Apple AirPods Max in Blue S$480 Lightly used,S$480
2025-08-04,Apple Airpods Pro Max S$475 Lightly used,S$475
2025-07-26,Apple AirPods Max - Orange S$460 Lightly used,S$460
2025-06-26,Apple AirPods Max - Gold S$460 Lightly used,S$460
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$450 Lightly used,S$450
2025-05-27,Buyer Protection AirPod max (colour blue) S$450 Lightly used,S$450
2025-03-28,AirPods Max S$450 Lightly used,S$450
2025-01-27,AirPods Max S$450 Lightly used,S$450
2025-01-27,AirPods Max 1 (Pink with Red Headband) S$450 Lightly used,S$450
2024-09-29,AirPods Max w/ Free Casing + Headphone Stand S$450 Lightly used,S$450
2023-08-26,Buyer Protection Apple Airpods Max S$450 Lightly used,S$450
2023-08-26,Buyer Protection 🍎 Apple Airpods Max [SILVER] 🎧 S$450 Lightly used,S$450
2025-05-27,AirPods Max Space Grey Gen I S$444 Lightly used,S$444
2025-02-26,Apple Airpod Pro Max S$430 Lightly used,S$430
2023-08-26,Apple Airpods Max White Silver S$420 Lightly used,S$420
