Date,Item,Price
2025-08-24,Apple AirPods Max - Space Grey S$480 Lightly used,S$480
2025-08-22,Buyer Protection AirPods Max (Lightning) S$480 Lightly used Free delivery,S$480
2025-08-22,Buyer Protection Apple AirPods Max S$300 Lightly used,S$300
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$450 Lightly used,S$450
2025-08-21,Buyer Protection Apple AirPods Max - Space Gray S$400 Lightly used,S$400
2025-08-20,Buyer Protection AirPods Max Silver S$410 Lightly used,S$410
2025-08-20,Buyer Protection Apple AirPods Max - Green S$300 Lightly used,S$300
2025-08-16,Apple AirPods Max - Silver S$300 Lightly used,S$300
2025-08-15,Apple AirPods Max - Pink S$300 Lightly used,S$300
2025-08-12,Buyer Protection Apple Airpods Max S$488 Lightly used,S$488
2025-08-07,Buyer Protection Apple AirPods Max S$300 Lightly used,S$300
2025-08-06,Apple Airpods Pro Max S$350 Lightly used,S$350
2025-08-04,Apple Airpods Pro Max S$475 Lightly used,S$475
2025-08-03,Apple AirPods Max - Space Gray S$350 Lightly used,S$350
2025-08-03,Buyer Protection Apple Airpods Max with Smart Case S$399 Lightly used,S$399
2025-08-02,Apple AirPods Max - Black S$350 Lightly used,S$350
2025-07-31,AirPods Max green S$600 Lightly used,S$600
2025-07-29,apple airpods max - white S$375 Lightly used,S$375
2025-07-28,Airpod Max Green (2024) With AppleCare S$500 Lightly used,S$500
2025-07-26,Apple AirPods Max - Orange S$460 Lightly used,S$460
2025-07-26,Buyer Protection Apple AirPod Max (Silver) S$350 Lightly used,S$350
2025-07-26,Buyer Protection AirPods Max S$390 Lightly used Free delivery,S$390
2025-06-26,Buyer Protection Apple AirPods Max - White S$350 Lightly used,S$350
2025-06-26,Apple AirPods Max - Gold S$460 Lightly used,S$460
2025-06-26,Apple Airpods Max S$390 Lightly used,S$390
2025-06-26,Airpods Max S$328 Lightly used,S$328
2025-06-26,Apple AirPods Max - Starlight S$500 Lightly used,S$500
2025-06-26,Buyer Protection AirPods Max Gen 1 in Starlight S$395 Lightly used,S$395
2025-06-26,Buyer Protection Looking for: Apple AirPods Max! 👀 S$400 Lightly used,S$400
2025-06-26,Buyer Protection AirPods Max S$500 Lightly used,S$500
2025-06-26,Apple AirPods Max - Sky Blue S$410 Lightly used,S$410
2025-06-26,Buyer Protection Original Apple Airpods Max (Space Grey) S$550 Lightly used,S$550
2025-06-26,Buyer Protection Apple AirPods Max - Space Gray S$550 Lightly used,S$550
2025-06-26,Airpods Max S$350 Lightly used,S$350
2025-06-26,Airpod max S$500 Lightly used,S$500
2025-06-26,Buyer Protection AirPods Max Lightning Cable Version - Willing to negotiate S$500 Lightly used,S$500
2025-05-27,Buyer Protection Apple AirPods Max - Blue S$400 Lightly used,S$400
2025-05-27,AirPods Max S$500 Lightly used,S$500
2025-05-27,Buyer Protection Airpods Max S$350 Lightly used,S$350
