Date,Item,Price
2025-08-22,Buyer Protection Apple AirPods Max S$300 Lightly used,S$300
2025-08-20,Buyer Protection Apple AirPods Max - Green S$300 Lightly used,S$300
2025-08-16,Apple AirPods Max - Silver S$300 Lightly used,S$300
2025-08-15,Apple AirPods Max - Pink S$300 Lightly used,S$300
2025-08-07,Buyer Protection Apple AirPods Max S$300 Lightly used,S$300
2025-06-26,Airpods Max S$328 Lightly used,S$328
2025-08-06,Apple Airpods Pro Max S$350 Lightly used,S$350
2025-08-03,Apple AirPods Max - Space Gray S$350 Lightly used,S$350
2025-08-02,Apple AirPods Max - Black S$350 Lightly used,S$350
2025-07-26,Buyer Protection Apple AirPod Max (Silver) S$350 Lightly used,S$350
2025-06-26,Buyer Protection Apple AirPods Max - White S$350 Lightly used,S$350
2025-06-26,Airpods Max S$350 Lightly used,S$350
2025-05-27,Buyer Protection Airpods Max S$350 Lightly used,S$350
2025-05-27,Buyer Protection AirPods Max (green) S$350 Lightly used,S$350
2025-04-27,Buyer Protection Apple airpods max headphone S$350 Lightly used,S$350
2024-12-28,Buyer Protection Apple Airpod Max S$350 Lightly used,S$350
2024-08-25,Airpods max S$350 Lightly used,S$350
2025-07-29,apple airpods max - white S$375 Lightly used,S$375
2024-08-25,Buyer Protection AirPods Max warranty expired S$380 Lightly used Free delivery,S$380
2025-07-26,Buyer Protection AirPods Max S$390 Lightly used Free delivery,S$390
2025-06-26,Apple Airpods Max S$390 Lightly used,S$390
2025-01-27,Apple Airpods Max S$390 Lightly used,S$390
2025-06-26,Buyer Protection AirPods Max Gen 1 in Starlight S$395 Lightly used,S$395
2025-08-03,Buyer Protection Apple Airpods Max with Smart Case S$399 Lightly used,S$399
2025-08-21,Buyer Protection Apple AirPods Max - Space Gray S$400 Lightly used,S$400
2025-06-26,Buyer Protection Looking for: Apple AirPods Max! 👀 S$400 Lightly used,S$400
2025-05-27,Buyer Protection Apple AirPods Max - Blue S$400 Lightly used,S$400
2025-05-27,Buyer Protection 🖤  AirPods Max S$400 Lightly used,S$400
2025-03-28,Buyer Protection AirPod Max Silver S$400 Lightly used,S$400
2025-03-28,Apple AirPods Max (Gen 1) S$400 Lightly used,S$400
2025-02-26,AirPod max 1 S$400 Lightly used,S$400
2025-01-27,airpods max S$400 Lightly used,S$400
2025-01-27,Apple Airpod Max Space Grey CHEAP TO CLEAR S$400 Lightly used,S$400
2024-12-28,Buyer Protection Apple Airpods Max Silver S$400 Lightly used,S$400
2023-08-26,AirPod Max Dark Grey S$400 Lightly used,S$400
2025-08-20,Buyer Protection AirPods Max Silver S$410 Lightly used,S$410
2025-06-26,Apple AirPods Max - Sky Blue S$410 Lightly used,S$410
2023-08-26,Apple Airpods Max White Silver S$420 Lightly used,S$420
2025-02-26,Apple Airpod Pro Max S$430 Lightly used,S$430
2025-05-27,AirPods Max Space Grey Gen I S$444 Lightly used,S$444
2025-08-22,Buyer Protection Apple AirPods Max - Space Gray S$450 Lightly used,S$450
2025-05-27,Buyer Protection AirPod max (colour blue) S$450 Lightly used,S$450
2025-03-28,AirPods Max S$450 Lightly used,S$450
2025-01-27,AirPods Max S$450 Lightly used,S$450
2025-01-27,AirPods Max 1 (Pink with Red Headband) S$450 Lightly used,S$450
2024-09-29,AirPods Max w/ Free Casing + Headphone Stand S$450 Lightly used,S$450
2023-08-26,Buyer Protection Apple Airpods Max S$450 Lightly used,S$450
