Date,Item,Price
2023-08-26,"Apple AirPods Max Black Full Set XY S$9,999 Like new","S$9,999"
2022-08-26,"Apple AirPods Max Blue Full Set w/ Warranty XY S$9,999 Like new","S$9,999"
2024-12-28,Buyer Protection Apple AirPod Max S$890 Like new,S$890
2025-08-25,BEST RATES BUYBACK! Apple | Buying / Selling / Trade WTS Sell Device | WTB Buy iphone phone ipad tablet mac macbook laptop computer smart watch earphone airpods pencil magic keyboard mini air gen 1 2 pro max 3 4 5 6 7 8 9 10 X 11 12 13 14 15 16 17 S$888 Like new,S$888
2024-10-29,Apple Airpods Max S$800 Like new,S$800
2025-02-26,Buyer Protection Apple AirPod Max (Mint) S$750 Like new,S$750
2024-08-25,Apple Airpods Max Space Grey S$750 Like new,S$750
2024-08-25,Buyer Protection Apple Airpods Max S$750 Like new,S$750
2025-05-27,Apple Airpods Max S$729 Like new,S$729
2024-08-25,apple airpods max silver S$720 Like new,S$720
2024-11-28,Buyer Protection Apple AirPods Max Purple / Lilac S$711 Like new,S$711
2025-06-26,Buyer Protection Apple Airpods Max S$700 Like new,S$700
2025-03-28,Buyer Protection Apple Airpods Max S$700 Like new,S$700
2024-11-28,Buyer Protection Selling apple airpods max starlight (used once) S$700 Like new,S$700
2023-08-26,WTS Airpods Max S$700 Like new,S$700
2023-08-26,AirPods Max S$700 Like new,S$700
2025-03-28,Air pod pro max 2 S$690 Like new,S$690
2025-07-26,Apple AirPods Max - Midnight Color S$680 Like new,S$680
2024-11-28,AirPods Max (USB‑C) Starlight S$680 Like new,S$680
2024-09-29,AirPods Max Gen 2 S$660 Like new,S$660
2025-08-12,Buyer Protection Airpods Max Gen 2 (Type C) S$650 Like new,S$650
2025-08-09,Buyer Protection Apple AirPods Max - Space Gray /USB C S$650 Like new,S$650
2025-06-26,Airpods Max (Purple) S$650 Like new,S$650
2025-06-26,AirPod  Max Gen 2 (Midnight Black) S$650 Like new,S$650
2025-06-26,Buyer Protection AirPods Max Starlight ‼️ ‼️ ‼️ S$650 Like new,S$650
2025-05-27,Buyer Protection Airpod Max Silver S$650 Like new,S$650
2025-03-28,Apple AirPod Max 2024 Starlight S$650 Like new,S$650
2025-03-28,Buyer Protection AirPods Pro max for sale. S$650 Like new,S$650
2025-01-27,Apple Airpods Max S$650 Like new,S$650
2025-01-27,Apple AirPods Max 2 S$650 Like new,S$650
2024-12-28,Buyer Protection Apple Airpods Max - Midnight S$650 Like new,S$650
2024-11-28,Buyer Protection Apple AirPods Max Gen 1 S$650 Like new,S$650
2024-08-25,Airpods Max (Bought november 2023) S$650 Like new,S$650
2024-08-25,Buyer Protection Apple Airpods Max S$650 Like new,S$650
2024-08-25,AirPod Max pink S$650 Like new,S$650
2023-08-26,Apple Airpods Max - Pink S$650 Like new,S$650
2025-08-14,Buyer Protection Apple AirPods Max USB-C Midnight with AppleCare+ S$630 Like new,S$630
2025-05-27,Apple AirPods Max - Silver S$630 Like new,S$630
2024-08-25,Buyer Protection Apple Airpods Max S$630 Like new,S$630
2023-08-26,Apple Airpods Max S$630 Like new,S$630
2025-02-26,Buyer Protection AirPod max 1 S$620 Like new,S$620
2024-08-25,Buyer Protection Apple Airpods Max S$620 Like new,S$620
2025-06-26,Apple AirPods Max 2024 S$618 S$628 Like new,S$618
2025-01-27,AirPods Max (Gen 2) Midnight | Like New | Local Set S$610 Like new,S$610
2025-08-17,AirPods Max S$600 Like new,S$600
2025-08-13,Buyer Protection Apple AirPods Max (2025) - with Apple Care+ S$600 Like new,S$600
